	Node	PI/Not a PI	Organisation	Internal Staff vs. External Staff	Faculty
385	82126353	2	Internal Staff	1	2
386	64410724	1	Internal Staff	1	1
387	52840341	2	Internal Staff	1	1
388	75167945	1	Internal Staff	1	1
389	69698888	2	Internal Staff	1	1
390	22664974	2	Internal Staff	1	1
391	89894198	2	Internal Staff	1	1
392	72963367	2	Internal Staff	1	1
393	99365527	2	Internal Staff	1	1
394	31512608	2	Internal Staff	1	1
395	56708515	2	Internal Staff	1	1
396	46592945	2	Internal Staff	1	1
397	67324999	2	Internal Staff	1	1
398	75805942	2	Internal Staff	1	1
399	22701711	2	Internal Staff	1	1
400	66451506	2	Internal Staff	1	1
401	77795114	1	Internal Staff	1	1
402	83979631	2	Internal Staff	1	1
403	90068471	2	Internal Staff	1	1
404	12811381	2	Internal Staff	1	1
405	18797839	1	Internal Staff	1	1
406	20129124	2	Internal Staff	1	1
407	44105450	2	Internal Staff	1	1
408	55662086	2	Internal Staff	1	1
409	58961111	2	Internal Staff	1	1
410	98146154	2	Internal Staff	1	1
411	27742873	2	Internal Staff	1	1
412	41902096	2	Internal Staff	1	1
413	42465713	2	Internal Staff	1	1
414	53181317	2	Internal Staff	1	1
415	79893241	2	Internal Staff	1	1
416	91680829	1	Internal Staff	1	1
417	92021548	2	Internal Staff	1	1
418	92911885	2	Internal Staff	1	1
419	97794113	2	Internal Staff	1	1
420	23400125	2	Internal Staff	1	1
421	52811724	2	Internal Staff	1	1
422	52862428	2	Internal Staff	1	1
423	81003273	2	Internal Staff	1	1
424	48094348	2	Internal Staff	1	1
425	14932602	2	Internal Staff	1	1
426	20960191	2	Internal Staff	1	1
427	78271868	1	Internal Staff	1	1
428	88352127	2	Internal Staff	1	1
429	67725898	1	Internal Staff	1	1
430	55870445	1	Internal Staff	1	1
431	76282315	2	Internal Staff	1	1
432	26451195	1	Internal Staff	1	1
433	74808839	2	Internal Staff	1	1
434	99679703	2	Internal Staff	1	1
435	14603975	2	Internal Staff	1	1
436	32427836	2	Internal Staff	1	1
437	15259445	2	Internal Staff	1	1
438	21648930	2	Internal Staff	1	1
439	23820000	2	Internal Staff	1	1
440	24215729	2	Internal Staff	1	1
441	29705789	2	Internal Staff	1	1
442	30327814	2	Internal Staff	1	1
443	30483914	2	Internal Staff	1	1
444	33943990	2	Internal Staff	1	1
445	41088550	2	Internal Staff	1	1
446	42207744	2	Internal Staff	1	1
447	52125232	2	Internal Staff	1	1
448	55797810	2	Internal Staff	1	1
449	62439051	2	Internal Staff	1	1
450	75384546	2	Internal Staff	1	1
451	92452327	2	Internal Staff	1	1
452	29843366	2	Internal Staff	1	1
453	63408863	2	Internal Staff	1	1
454	11055140	2	Internal Staff	1	1
455	69465338	2	Internal Staff	1	1
456	75802831	2	Internal Staff	1	3
457	63638678	2	Internal Staff	1	3
458	32668128	2	Internal Staff	1	3
459	39391756	2	Internal Staff	1	3
460	95355210	2	Internal Staff	1	3
461	48891962	2	Internal Staff	1	3
462	74186656	2	Internal Staff	1	3
463	64567800	2	Internal Staff	1	3
464	29511878	2	Internal Staff	1	3
465	77133030	2	Internal Staff	1	3
466	88248890	2	Internal Staff	1	3
467	93979016	2	Internal Staff	1	3
468	18007899	1	Internal Staff	1	3
469	74232415	2	Internal Staff	1	3
470	49343429	2	Internal Staff	1	3
471	35996630	2	Internal Staff	1	3
472	28916522	2	Internal Staff	1	3
473	47834074	2	Internal Staff	1	3
474	50379151	1	Internal Staff	1	3
475	84670996	1	Internal Staff	1	3
476	62306091	2	Internal Staff	1	3
477	22229355	2	Internal Staff	1	3
478	58233094	2	Internal Staff	1	3
479	51442218	2	Internal Staff	1	3
480	40070800	2	Internal Staff	1	3
481	26320225	2	Internal Staff	1	3
482	89562352	2	Internal Staff	1	3
483	22372749	2	Internal Staff	1	3
484	30407538	1	Internal Staff	1	3
485	65317644	2	Internal Staff	1	3
486	95405394	2	Internal Staff	1	3
487	21942067	2	Internal Staff	1	3
488	22926416	2	Internal Staff	1	3
489	37784142	2	Internal Staff	1	3
490	58866748	1	Internal Staff	1	3
491	70233551	2	Internal Staff	1	3
492	81733518	2	Internal Staff	1	3
493	45392482	2	Internal Staff	1	3
494	51868029	1	Internal Staff	1	3
495	14817624	1	Internal Staff	1	3
496	55360959	2	Internal Staff	1	3
497	13224469	1	Internal Staff	1	3
498	79772585	2	Internal Staff	1	3
499	66003097	2	Internal Staff	1	3
500	90144202	2	Internal Staff	1	3
501	95012705	2	Internal Staff	1	3
502	26642353	2	Internal Staff	1	3
503	85697487	2	Internal Staff	1	3
504	85706014	2	Internal Staff	1	3
505	42387028	1	Internal Staff	1	3
506	60689704	2	Internal Staff	1	3
507	66996609	2	Internal Staff	1	3
508	50070388	2	Internal Staff	1	3
509	28153747	1	Internal Staff	1	3
510	57820559	2	Internal Staff	1	3
511	90586285	2	Internal Staff	1	3
512	90955050	2	Internal Staff	1	3
513	29370717	2	Internal Staff	1	3
514	60245706	2	Internal Staff	1	3
515	67745551	1	Internal Staff	1	3
516	44434653	1	Internal Staff	1	3
517	15410249	2	Internal Staff	1	3
518	17300961	2	Internal Staff	1	3
519	39613940	2	Internal Staff	1	3
520	71323513	1	Internal Staff	1	3
521	38450356	2	Internal Staff	1	3
522	56340311	2	Internal Staff	1	3
523	32013479	2	Internal Staff	1	3
524	19242451	2	Internal Staff	1	3
525	33581520	1	Internal Staff	1	3
526	93942195	2	Internal Staff	1	3
527	19638872	2	Internal Staff	1	3
528	19718652	2	Internal Staff	1	3
529	28738958	1	Internal Staff	1	3
530	34437873	2	Internal Staff	1	3
531	76583498	2	Internal Staff	1	3
532	88336017	2	Internal Staff	1	3
533	98775027	2	Internal Staff	1	3
534	50632751	2	Internal Staff	1	3
535	27923681	2	Internal Staff	1	3
536	91352307	1	Internal Staff	1	3
537	65722489	2	Internal Staff	1	3
538	90226032	1	Internal Staff	1	3
539	16431455	2	Internal Staff	1	3
540	22122058	2	Internal Staff	1	3
541	28066843	2	Internal Staff	1	3
542	51277200	2	Internal Staff	1	3
543	73797754	2	Internal Staff	1	3
544	12568610	1	Internal Staff	1	3
545	49991169	2	Internal Staff	1	3
546	26342005	2	Internal Staff	1	3
547	35098509	2	Internal Staff	1	3
548	38264207	2	Internal Staff	1	3
549	42677048	2	Internal Staff	1	3
550	52813611	2	Internal Staff	1	3
551	57829129	2	Internal Staff	1	3
552	69849440	2	Internal Staff	1	3
553	73307117	2	Internal Staff	1	3
554	76343121	2	Internal Staff	1	3
555	26656453	1	Internal Staff	1	3
556	67165822	2	Internal Staff	1	3
557	60148545	2	Internal Staff	1	3
558	44922036	1	Internal Staff	1	3
559	70309809	2	Internal Staff	1	3
560	13561646	2	Internal Staff	1	3
561	18786145	1	Internal Staff	1	3
562	20346140	2	Internal Staff	1	3
563	54410438	2	Internal Staff	1	3
