	Node	PI/Not a PI	Organisation	Internal Staff vs. External Staff	Faculty
998	24700028	0	IFF	2	0
999	51076612	0	IGI	2	0
1000	71651026	0	IGI	2	0
1001	55933655	0	ILQ	2	0
1002	24063464	0	INH	2	0
1003	13395376	0	INH	2	0
1004	91199437	0	INH	2	0
1005	60101210	0	IWY	2	0
1006	84910850	0	IXY	2	0
1007	35044672	0	IXY	2	0
1008	17650600	0	IYT	2	0
1009	81820760	0	IYT	2	0
1010	50117457	0	IYT	2	0
1011	15416509	0	IYT	2	0
1012	65414419	0	IYT	2	0
1013	73445080	0	IYT	2	0
1014	30686588	0	IYT	2	0
1015	98254972	0	IYT	2	0
1016	16395160	0	IYT	2	0
1017	24270328	0	IYT	2	0
1018	68544299	0	IYT	2	0
1019	75463241	0	IYT	2	0
1020	32705782	0	IYT	2	0
1021	80637418	0	IYT	2	0
1022	94925136	0	IZS	2	0
1023	23947884	0	JCO	2	0
1024	82326683	0	JCO	2	0
1025	37941919	0	JCO	2	0
1026	52349901	0	JCO	2	0
1027	19022279	0	JCO	2	0
1028	12181959	0	JCO	2	0
1029	15693771	0	JCO	2	0
1030	85375433	0	JCO	2	0
1031	26554471	0	JCO	2	0
1032	47075319	0	JCO	2	0
1033	80313910	0	JED	2	0
1034	93660074	0	JED	2	0
1035	35035722	0	JED	2	0
1036	98235220	0	JEK	2	0
1037	83939800	0	JFW	2	0
1038	96868872	0	JHG	2	0
1039	72028183	0	JHG	2	0
1040	49213652	0	JII	2	0
1041	63318994	0	JQV	2	0
1042	61477343	0	JUQ	2	0
1043	70235545	0	JVL	2	0
1044	90471607	0	JWG	2	0
1045	78462914	0	JWM	2	0
1046	99635521	0	JWM	2	0
1047	25496953	0	JYW	2	0
1048	72616611	0	JYW	2	0
1049	46683736	0	JYW	2	0
1050	91720770	0	JZI	2	0
1051	85012932	0	JZI	2	0
1052	81443351	0	JZI	2	0
1053	29841108	0	KAA	2	0
1054	33454969	0	KAA	2	0
1055	19098359	0	KCS	2	0
1056	52261023	0	KCS	2	0
1057	99760871	0	KFW	2	0
1058	79516167	0	KFW	2	0
1059	44192344	0	KFW	2	0
1060	64676394	0	KFW	2	0
1061	59815057	0	KFW	2	0
1062	39029851	0	KFW	2	0
1063	46885951	0	KFW	2	0
1064	80562146	0	KFW	2	0
1065	12874602	0	KFW	2	0
1066	50791067	0	KFW	2	0
1067	61790795	0	KFW	2	0
1068	34291247	0	KFW	2	0
1069	72196860	0	KFW	2	0
1070	94919643	0	KFW	2	0
1071	87482902	0	KFW	2	0
1072	40319088	0	KFW	2	0
1073	61309538	0	KFW	2	0
1074	36582459	0	KFW	2	0
1075	27524052	0	KFW	2	0
1076	72771013	0	KFW	2	0
1077	29970957	0	KFW	2	0
1078	63410975	0	KFW	2	0
1079	99657000	0	KFW	2	0
1080	22730533	0	KFW	2	0
1081	52465334	0	KFW	2	0
1082	75388316	0	KFW	2	0
1083	58520369	0	KFW	2	0
1084	54533317	0	KFW	2	0
1085	96254482	0	KFW	2	0
1086	50942276	0	KFW	2	0
1087	82430513	0	KFW	2	0
1088	22005521	0	KFW	2	0
1089	29694071	0	KFW	2	0
1090	75147591	0	KFW	2	0
1091	94094971	0	KFW	2	0
1092	99812392	0	KFW	2	0
1093	11469140	0	KFW	2	0
1094	20304750	0	KFW	2	0
1095	43889797	0	KFW	2	0
1096	66498800	0	KFW	2	0
1097	47144460	0	KFW	2	0
1098	59030743	0	KFW	2	0
1099	67940572	0	KFW	2	0
1100	92046057	0	KFW	2	0
1101	80576580	0	KFW	2	0
1102	92515830	0	KFW	2	0
1103	33155769	0	KFW	2	0
1104	87934546	0	KFW	2	0
1105	74057617	0	KFW	2	0
1106	59818392	0	KFW	2	0
1107	91745619	0	KFW	2	0
1108	73495191	0	KFW	2	0
1109	53304955	0	KFW	2	0
1110	77594997	0	KFW	2	0
1111	56385926	0	KFW	2	0
1112	25936192	0	KFW	2	0
1113	51134452	0	KFW	2	0
1114	56126171	0	KFW	2	0
1115	67265443	0	KFW	2	0
1116	61807583	0	KFW	2	0
1117	39061094	0	KFW	2	0
1118	20610314	0	KFW	2	0
1119	25559532	0	KFW	2	0
1120	82118229	0	KFW	2	0
1121	63775583	0	KFW	2	0
1122	76758371	0	KFW	2	0
1123	45002354	0	KFW	2	0
1124	17226755	0	KFW	2	0
1125	95889162	0	KFW	2	0
1126	66347937	0	KFW	2	0
1127	88009187	0	KFW	2	0
1128	36073108	0	KFW	2	0
1129	98349391	0	KFW	2	0
1130	17459074	0	KFW	2	0
1131	71375946	0	KFW	2	0
1132	28881413	0	KFW	2	0
1133	23379482	0	KFW	2	0
1134	98682156	0	KFW	2	0
1135	53352816	0	KFW	2	0
1136	30003725	0	KFW	2	0
1137	69433637	0	KFW	2	0
1138	83482947	0	KFW	2	0
1139	70724149	0	KFW	2	0
1140	36707353	0	KFW	2	0
1141	78203226	0	KFW	2	0
1142	30427961	0	KFW	2	0
1143	80089355	0	KFW	2	0
1144	15422522	0	KFW	2	0
1145	64243345	0	KFW	2	0
1146	73575473	0	KFW	2	0
1147	86385570	0	KFW	2	0
1148	35035673	0	KFW	2	0
1149	54829070	0	KFW	2	0
1150	34184784	0	KFW	2	0
1151	41453559	0	KFW	2	0
1152	12057956	0	KFW	2	0
1153	90699026	0	KFW	2	0
1154	79926009	0	KFW	2	0
1155	68170153	0	KFW	2	0
1156	49152654	0	KFW	2	0
1157	28306327	0	KFW	2	0
1158	94209629	0	KFW	2	0
1159	32897719	0	KFW	2	0
1160	54822799	0	KFW	2	0
1161	92771069	0	KFW	2	0
1162	37548749	0	KFW	2	0
1163	27259905	0	KFW	2	0
1164	21126689	0	KFW	2	0
1165	98312614	0	KFW	2	0
1166	43277822	0	KFW	2	0
1167	68763437	0	KFW	2	0
1168	72358944	0	KFW	2	0
1169	99340631	0	KFW	2	0
1170	67371648	0	KFW	2	0
1171	52620813	0	KFW	2	0
1172	32954078	0	KFW	2	0
1173	49410543	0	KFW	2	0
1174	46751327	0	KFW	2	0
1175	81313943	0	KFW	2	0
1176	27988321	0	KFW	2	0
1177	54401229	0	KFW	2	0
1178	51218602	0	KFW	2	0
1179	65734498	0	KFW	2	0
1180	34577409	0	KFW	2	0
1181	22613521	0	KFW	2	0
1182	65427432	0	KFW	2	0
1183	22724580	0	KFW	2	0
1184	69651139	0	KFW	2	0
1185	17358075	0	KFW	2	0
1186	99169914	0	KFW	2	0
1187	15717184	0	KFW	2	0
1188	78018397	0	KFW	2	0
1189	83689617	0	KFW	2	0
1190	24849444	0	KFW	2	0
1191	78915594	0	KFW	2	0
1192	96334204	0	KFW	2	0
1193	22019682	0	KFW	2	0
1194	58011875	0	KFW	2	0
1195	23273144	0	KFW	2	0
1196	72634271	0	KFW	2	0
1197	68368549	0	KFW	2	0
1198	58295938	0	KFW	2	0
1199	74159038	0	KFW	2	0
1200	14013477	0	KFW	2	0
1201	57026448	0	KFW	2	0
1202	24157460	0	KFW	2	0
1203	13276899	0	KFW	2	0
1204	80447596	0	KFW	2	0
1205	55265750	0	KFW	2	0
1206	30818097	0	KFW	2	0
1207	27454145	0	KFW	2	0
1208	78290215	0	KFW	2	0
1209	68909669	0	KFW	2	0
1210	79403040	0	KFW	2	0
1211	37599918	0	KFW	2	0
1212	70769236	0	KFW	2	0
1213	41116747	0	KFW	2	0
1214	24760960	0	KFW	2	0
1215	27550803	0	KFW	2	0
1216	18909880	0	KFW	2	0
1217	65576393	0	KFW	2	0
1218	27250674	0	KFW	2	0
1219	28233724	0	KFW	2	0
1220	58198058	0	KFW	2	0
1221	41675246	0	KFW	2	0
1222	55087956	0	KFW	2	0
1223	93270550	0	KFW	2	0
1224	74617800	0	KFW	2	0
1225	81916751	0	KFW	2	0
1226	14116376	0	KFW	2	0
1227	41320896	0	KFW	2	0
1228	42403756	0	KFW	2	0
1229	23271988	0	KFW	2	0
1230	68922366	0	KFW	2	0
1231	53210936	0	KFW	2	0
1232	87288960	0	KFW	2	0
1233	54312358	0	KFW	2	0
1234	60635755	0	KFW	2	0
1235	26857803	0	KFW	2	0
1236	33155104	0	KFW	2	0
1237	54336934	0	KFW	2	0
1238	45724387	0	KFW	2	0
1239	63458109	0	KFW	2	0
1240	23500306	0	KFW	2	0
1241	50346721	0	KFW	2	0
1242	16989273	0	KFW	2	0
1243	28222665	0	KFW	2	0
1244	88808441	0	KFW	2	0
1245	94735776	0	KFW	2	0
1246	74724797	0	KFW	2	0
1247	15997470	0	KFW	2	0
1248	64230377	0	KFW	2	0
1249	24080013	0	KFW	2	0
1250	78912886	0	KFW	2	0
1251	51990639	0	KFW	2	0
1252	72519908	0	KFW	2	0
1253	74117742	0	KFW	2	0
1254	23337592	0	KFW	2	0
1255	68055855	0	KFW	2	0
1256	26353337	0	KFW	2	0
1257	82327041	0	KFW	2	0
1258	54337964	0	KFW	2	0
1259	20875065	0	KFW	2	0
1260	59093097	0	KFW	2	0
1261	30448034	0	KFW	2	0
1262	66059277	0	KFW	2	0
1263	73044265	0	KFW	2	0
1264	83755900	0	KFW	2	0
1265	40911364	0	KFW	2	0
1266	27737924	0	KFW	2	0
1267	41788911	0	KFW	2	0
1268	79219433	0	KFW	2	0
1269	64199262	0	KFW	2	0
1270	53276238	0	KFW	2	0
1271	20370624	0	KFW	2	0
1272	36795884	0	KFW	2	0
1273	65204959	0	KFW	2	0
1274	42872413	0	KFW	2	0
1275	20256060	0	KFW	2	0
1276	32623359	0	KFW	2	0
1277	67858039	0	KFW	2	0
1278	51743954	0	KFW	2	0
1279	76476533	0	KFW	2	0
1280	16115631	0	KFW	2	0
1281	93834304	0	KFW	2	0
1282	90043969	0	KFW	2	0
1283	87070974	0	KFW	2	0
1284	69171399	0	KFW	2	0
1285	34135181	0	KFW	2	0
1286	67001429	0	KFW	2	0
1287	98282671	0	KFW	2	0
1288	80308875	0	KFW	2	0
1289	65426041	0	KFW	2	0
1290	48168842	0	KFW	2	0
1291	63319863	0	KFW	2	0
1292	22259574	0	KFW	2	0
1293	51181184	0	KFW	2	0
1294	15868526	0	KFW	2	0
1295	37064147	0	KFW	2	0
1296	77582098	0	KFW	2	0
1297	16390475	0	KFW	2	0
1298	56491921	0	KFW	2	0
1299	15429413	0	KFW	2	0
1300	18139781	0	KFW	2	0
1301	99614301	0	KFW	2	0
1302	46651456	0	KFW	2	0
1303	52467314	0	KFW	2	0
1304	16629596	0	KFW	2	0
1305	54157863	0	KFW	2	0
1306	44530390	0	KFW	2	0
1307	97950125	0	KFW	2	0
1308	78851926	0	KFW	2	0
1309	19320911	0	KFW	2	0
1310	15253390	0	KFW	2	0
1311	50415762	0	KFW	2	0
1312	58998548	0	KFW	2	0
1313	93474280	0	KFW	2	0
1314	71978987	0	KFW	2	0
1315	33910554	0	KFW	2	0
1316	40431365	0	KFW	2	0
1317	60498303	0	KFW	2	0
1318	38225056	0	KFW	2	0
1319	63323517	0	KFW	2	0
1320	49737423	0	KFW	2	0
1321	32366576	0	KFW	2	0
1322	89907911	0	KFW	2	0
1323	26308435	0	KFW	2	0
1324	60420209	0	KFW	2	0
1325	19927081	0	KFW	2	0
1326	14206628	0	KFW	2	0
1327	77258007	0	KFW	2	0
1328	93760268	0	KFW	2	0
1329	93874572	0	KFW	2	0
1330	92518742	0	KFW	2	0
1331	48637994	0	KFW	2	0
1332	88751942	0	KFW	2	0
1333	86402269	0	KFW	2	0
1334	51321908	0	KFW	2	0
1335	94810233	0	KFW	2	0
1336	91479272	0	KFW	2	0
1337	93015761	0	KFW	2	0
1338	24578817	0	KFW	2	0
1339	50657157	0	KFW	2	0
1340	31505183	0	KFW	2	0
1341	64931248	0	KFW	2	0
1342	72289476	0	KFW	2	0
1343	34879394	0	KFW	2	0
1344	42538043	0	KFW	2	0
1345	21978829	0	KFW	2	0
1346	76417502	0	KFW	2	0
1347	61949674	0	KFW	2	0
1348	93880302	0	KFW	2	0
1349	77841768	0	KFW	2	0
1350	95031012	0	KFW	2	0
1351	34969130	0	KFW	2	0
1352	75726810	0	KFW	2	0
1353	31002098	0	KFW	2	0
1354	29187895	0	KFW	2	0
1355	80451197	0	KFW	2	0
1356	28589045	0	KFW	2	0
1357	74701911	0	KFW	2	0
1358	59784432	0	KFW	2	0
1359	11233888	0	KFW	2	0
1360	70987637	0	KFW	2	0
1361	37503761	0	KFW	2	0
1362	68800848	0	KFW	2	0
1363	51915261	0	KFW	2	0
1364	81133435	0	KFW	2	0
1365	18457447	0	KFW	2	0
1366	60760884	0	KFW	2	0
1367	15183080	0	KFW	2	0
1368	18603597	0	KFW	2	0
1369	79144974	0	KFW	2	0
1370	29316840	0	KFW	2	0
1371	57836086	0	KFW	2	0
1372	17033500	0	KFW	2	0
1373	58919630	0	KFW	2	0
1374	85996022	0	KFW	2	0
1375	22356897	0	KFW	2	0
1376	58687508	0	KFW	2	0
1377	75477296	0	KFW	2	0
1378	10573511	0	KFW	2	0
1379	49919525	0	KFW	2	0
1380	22450499	0	KFW	2	0
1381	17128820	0	KFW	2	0
1382	53525137	0	KFW	2	0
1383	67478728	0	KFW	2	0
1384	82285103	0	KFW	2	0
1385	84999710	0	KFW	2	0
1386	76593999	0	KFW	2	0
1387	96440671	0	KFW	2	0
1388	93633333	0	KFW	2	0
1389	28271975	0	KFW	2	0
1390	83917426	0	KFW	2	0
1391	52767822	0	KFW	2	0
1392	11172475	0	KFW	2	0
1393	84526869	0	KFW	2	0
1394	55138439	0	KFW	2	0
1395	40915227	0	KFW	2	0
1396	45366382	0	KFW	2	0
1397	45099453	0	KFW	2	0
1398	99715336	0	KFW	2	0
1399	59284988	0	KFW	2	0
1400	72290606	0	KFW	2	0
1401	77338993	0	KFW	2	0
1402	99622512	0	KFW	2	0
1403	37218015	0	KFW	2	0
1404	87806075	0	KFW	2	0
1405	16042240	0	KFW	2	0
1406	39143468	0	KFW	2	0
1407	99202478	0	KFW	2	0
1408	66772711	0	KFW	2	0
1409	33250533	0	KFW	2	0
1410	15142528	0	KFW	2	0
1411	53180119	0	KFW	2	0
1412	13138587	0	KFW	2	0
1413	19706429	0	KFW	2	0
1414	18052163	0	KFW	2	0
1415	67107429	0	KFW	2	0
1416	45933937	0	KFW	2	0
1417	95756702	0	KFW	2	0
1418	65722408	0	KFW	2	0
1419	43042937	0	KFW	2	0
1420	38805134	0	KFW	2	0
1421	80065977	0	KFW	2	0
1422	40226394	0	KFW	2	0
1423	77640525	0	KFW	2	0
1424	13158959	0	KFW	2	0
1425	66538636	0	KFW	2	0
1426	85961099	0	KFW	2	0
1427	27153527	0	KFW	2	0
1428	10459518	0	KFW	2	0
1429	90956591	0	KFW	2	0
1430	72572644	0	KFW	2	0
1431	36892343	0	KFW	2	0
1432	10044102	0	KFW	2	0
1433	61310463	0	KFW	2	0
1434	97248515	0	KFW	2	0
1435	13751460	0	KFW	2	0
1436	60225212	0	KFW	2	0
1437	81403643	0	KFW	2	0
1438	39458543	0	KFW	2	0
1439	81013660	0	KFW	2	0
1440	37854276	0	KHP	2	0
1441	10267682	0	KHP	2	0
1442	86281529	0	KJC	2	0
1443	86499004	0	KKC	2	0
1444	20330881	0	KLD	2	0
1445	60672910	0	KLD	2	0
1446	56283094	0	KND	2	0
1447	63038618	0	KND	2	0
1448	84586555	0	KND	2	0
1449	64110070	0	KND	2	0
1450	61690756	0	KND	2	0
1451	86208451	0	KOS	2	0
1452	27409025	0	KOS	2	0
1453	57016734	0	KPY	2	0
1454	24351780	0	KQI	2	0
1455	57446206	0	KQI	2	0
1456	72944983	0	KQQ	2	0
1457	48252964	0	KQQ	2	0
1458	58075932	0	KRE	2	0
1459	58162463	0	KSD	2	0
1460	76046234	0	KST	2	0
1461	99518532	0	KST	2	0
1462	38503541	0	KTJ	2	0
1463	47626687	0	KTT	2	0
1464	50037864	0	KVQ	2	0
1465	88621662	0	KXN	2	0
1466	21773046	0	KXN	2	0
1467	78080430	0	LAC	2	0
1468	99474396	0	LAC	2	0
1469	59787589	0	LAC	2	0
1470	23543977	0	LBX	2	0
1471	47782504	0	LFA	2	0
1472	97071848	0	LFK	2	0
1473	95123921	0	LFP	2	0
1474	94136005	0	LFT	2	0
1475	87657140	0	LFT	2	0
1476	63373466	0	LFT	2	0
1477	24730966	0	LFT	2	0
1478	47124843	0	LFT	2	0
1479	25326035	0	LGV	2	0
1480	59803485	0	LGY	2	0
1481	20519979	0	LLH	2	0
1482	52276818	0	LLH	2	0
1483	51948267	0	LLH	2	0
1484	33208658	0	LLH	2	0
1485	11846163	0	LLH	2	0
1486	39253597	0	LLO	2	0
1487	86480720	0	LMS	2	0
1488	46541492	0	LRZ	2	0
1489	54318362	0	LRZ	2	0
1490	37681331	0	LRZ	2	0
1491	29814173	0	LRZ	2	0
1492	33296153	0	LRZ	2	0
1493	17436543	0	LUD	2	0
1494	92569502	0	LUE	2	0
1495	20945712	0	LUE	2	0
1496	90817971	0	LWI	2	0
1497	92461098	0	LYB	2	0
1498	60152652	0	LZU	2	0
1499	36954391	0	MCB	2	0
1500	77360286	0	MDP	2	0
1501	86278754	0	MDY	2	0
1502	20143139	0	MKE	2	0
1503	94568262	0	MKW	2	0
1504	32223297	0	MPM	2	0
1505	67622829	0	MRF	2	0
1506	15392187	0	MVL	2	0
1507	92084529	0	MYM	2	0
1508	63632470	0	NFP	2	0
1509	98793419	0	NFP	2	0
1510	32998796	0	NID	2	0
1511	69207251	0	NKD	2	0
1512	86883539	0	NPL	2	0
1513	73794563	0	NPL	2	0
1514	89168471	0	NPV	2	0
1515	92808100	0	NPV	2	0
1516	43260535	0	NYZ	2	0
1517	54018007	0	NYZ	2	0
1518	76850988	0	NYZ	2	0
1519	45193852	0	OBI	2	0
1520	49337901	0	OCF	2	0
1521	12351648	0	OCR	2	0
1522	39446119	0	OCR	2	0
1523	56080738	0	OCR	2	0
1524	81854463	0	ODC	2	0
1525	72410681	0	ODC	2	0
1526	60670603	0	ODC	2	0
1527	78737134	0	OEW	2	0
1528	58357653	0	OGD	2	0
1529	11249670	0	OHQ	2	0
1530	96067629	0	OHQ	2	0
1531	81804955	0	OHQ	2	0
1532	21861699	0	OHQ	2	0
1533	65056118	0	OHQ	2	0
1534	54654676	0	OHQ	2	0
1535	67766766	0	OID	2	0
1536	25923912	0	OID	2	0
1537	35254655	0	OID	2	0
1538	27494550	0	OID	2	0
1539	81376476	0	OID	2	0
1540	80799228	0	ONH	2	0
1541	85033380	0	OOM	2	0
1542	52512232	0	ORR	2	0
1543	28008824	0	OUI	2	0
1544	54983657	0	OUQ	2	0
1545	39626444	0	OUV	2	0
1546	11943759	0	OVK	2	0
1547	57805284	0	OVK	2	0
1548	94396652	0	OVO	2	0
1549	88724632	0	PCD	2	0
1550	31487049	0	PCW	2	0
1551	86889509	0	PCX	2	0
1552	17188127	0	PEJ	2	0
1553	14938570	0	PGE	2	0
1554	99668281	0	PGE	2	0
1555	65835863	0	PGE	2	0
1556	99721833	0	PHO	2	0
1557	94485968	0	PIT	2	0
1558	63110759	0	PJI	2	0
1559	99695316	0	PJI	2	0
1560	54405743	0	PJI	2	0
1561	84173101	0	PJI	2	0
1562	71448897	0	PJI	2	0
1563	97198776	0	PJI	2	0
1564	48508278	0	PJI	2	0
1565	72484788	0	PJI	2	0
1566	51784304	0	PJI	2	0
1567	95561417	0	PJI	2	0
1568	64631109	0	PJI	2	0
1569	40497988	0	PJI	2	0
1570	72215695	0	PJI	2	0
1571	62535903	0	PKF	2	0
1572	34366967	0	PKH	2	0
1573	15801870	0	PKQ	2	0
1574	22681000	0	PMU	2	0
1575	94825497	0	PMU	2	0
1576	76638402	0	PQZ	2	0
1577	69048665	0	PRT	2	0
1578	80141803	0	PRT	2	0
1579	77588856	0	PRT	2	0
1580	28421315	0	PRT	2	0
1581	82707663	0	PRT	2	0
1582	63438768	0	PRT	2	0
1583	77596936	0	PRT	2	0
1584	58846399	0	PRT	2	0
1585	24098394	0	PRT	2	0
1586	62088291	0	PRT	2	0
1587	47707927	0	PRT	2	0
1588	16761506	0	PRT	2	0
1589	43576216	0	PTY	2	0
1590	90192684	0	PUY	2	0
1591	65315841	0	PUY	2	0
1592	38469300	0	PVN	2	0
1593	76943945	0	PXQ	2	0
1594	44344118	0	PXQ	2	0
1595	50768494	0	PXQ	2	0
1596	12382839	0	PXQ	2	0
1597	34897423	0	PXQ	2	0
1598	70359683	0	PZN	2	0
1599	10244697	0	PZN	2	0
1600	94994911	0	QEE	2	0
1601	68241724	0	QEJ	2	0
1602	18126742	0	QEX	2	0
1603	57011024	0	QEX	2	0
1604	47592506	0	QGY	2	0
1605	93466569	0	QJE	2	0
1606	41596092	0	QJU	2	0
1607	51901250	0	QJU	2	0
1608	77486502	0	QKJ	2	0
1609	49691242	0	QMK	2	0
1610	69020642	0	QMK	2	0
1611	62750342	0	QNH	2	0
1612	66566154	0	QNH	2	0
1613	64643703	0	QRF	2	0
1614	65111747	0	QTT	2	0
1615	37175854	0	QTT	2	0
1616	38593143	0	QUK	2	0
1617	65731292	0	QVG	2	0
1618	51616731	0	QVM	2	0
1619	52809719	0	QVM	2	0
1620	68414514	0	QVM	2	0
1621	71517029	0	QVU	2	0
1622	11464149	0	QZD	2	0
1623	27615081	0	QZE	2	0
1624	80860493	0	RCF	2	0
1625	40919636	0	RCF	2	0
1626	86416583	0	RFS	2	0
1627	35348573	0	RFS	2	0
1628	77174502	0	RFS	2	0
1629	43977509	0	RFS	2	0
1630	89443525	0	RFS	2	0
1631	65004396	0	RGW	2	0
1632	27349639	0	RHH	2	0
1633	99960507	0	RHU	2	0
1634	65089057	0	RJU	2	0
1635	15755754	0	RJU	2	0
1636	35516244	0	RJU	2	0
1637	88879464	0	RKJ	2	0
1638	73592295	0	RMO	2	0
1639	47199715	0	RNR	2	0
1640	44365859	0	RNR	2	0
1641	12153728	0	RNR	2	0
1642	98285577	0	RNU	2	0
1643	94421833	0	RSE	2	0
1644	57233007	0	RSY	2	0
1645	84198449	0	RTV	2	0
1646	56509475	0	SAS	2	0
1647	82309023	0	SCB	2	0
1648	92032389	0	SCB	2	0
1649	56351419	0	SCB	2	0
1650	75863812	0	SCB	2	0
1651	52995526	0	SHC	2	0
1652	53712490	0	SJK	2	0
1653	99227195	0	SJK	2	0
1654	97811553	0	SJK	2	0
1655	10796365	0	SJK	2	0
1656	65181729	0	SJK	2	0
1657	59568847	0	SJK	2	0
1658	67158198	0	SJK	2	0
1659	40699849	0	SJK	2	0
1660	76889137	0	SJK	2	0
1661	92768713	0	SJK	2	0
1662	58480373	0	SJK	2	0
1663	40006705	0	SJK	2	0
1664	65240278	0	SJK	2	0
1665	82518617	0	SJK	2	0
1666	56657750	0	SJK	2	0
1667	52019814	0	SJK	2	0
1668	69160341	0	SJK	2	0
1669	52987114	0	SJK	2	0
1670	28318606	0	SJK	2	0
1671	84842503	0	SJK	2	0
1672	34060299	0	SJK	2	0
1673	21578159	0	SJK	2	0
1674	80077209	0	SJS	2	0
1675	81717448	0	SJS	2	0
1676	99784595	0	SJS	2	0
1677	67419914	0	SJS	2	0
1678	64572737	0	SJS	2	0
1679	90556068	0	SJS	2	0
1680	88815583	0	SKN	2	0
1681	54469509	0	SKN	2	0
1682	47624526	0	SKN	2	0
1683	99963870	0	SKN	2	0
1684	93128118	0	SKO	2	0
1685	43245773	0	SKO	2	0
1686	44862224	0	SKO	2	0
1687	45883451	0	SKO	2	0
1688	29436849	0	SKO	2	0
1689	31281997	0	SKO	2	0
1690	97421923	0	SKO	2	0
1691	71000954	0	SKO	2	0
1692	24938130	0	SKO	2	0
1693	61482863	0	SKO	2	0
1694	26515996	0	SKO	2	0
1695	37164421	0	SKO	2	0
1696	77921791	0	SKO	2	0
1697	16624774	0	SKO	2	0
1698	12484526	0	SKO	2	0
1699	19418126	0	SKO	2	0
1700	97381365	0	SKO	2	0
1701	62893376	0	SKO	2	0
1702	54292076	0	SKO	2	0
1703	47242002	0	SKO	2	0
1704	43768908	0	SKO	2	0
1705	38423908	0	SKO	2	0
1706	51364109	0	SKO	2	0
1707	55504315	0	SKO	2	0
1708	15127270	0	SKO	2	0
1709	80062854	0	SKO	2	0
1710	75228203	0	SKO	2	0
1711	45434795	0	SKO	2	0
1712	21975250	0	SKO	2	0
1713	37599484	0	SKO	2	0
1714	74256490	0	SKO	2	0
1715	63572454	0	SKO	2	0
1716	96895135	0	SKO	2	0
1717	84545534	0	SKO	2	0
1718	60672693	0	SKO	2	0
1719	56318314	0	SKO	2	0
1720	89220129	0	SKO	2	0
1721	17719334	0	SKO	2	0
1722	94461635	0	SKO	2	0
1723	18300552	0	SKO	2	0
1724	72125128	0	SKO	2	0
1725	87708166	0	SKO	2	0
1726	32109107	0	SKO	2	0
1727	30304353	0	SKO	2	0
1728	11322634	0	SKO	2	0
1729	20549828	0	SKO	2	0
1730	35570951	0	SKO	2	0
1731	84927261	0	SKO	2	0
1732	88121990	0	SKO	2	0
1733	32601735	0	SKO	2	0
1734	32245838	0	SKO	2	0
1735	27289360	0	SKO	2	0
1736	61684301	0	SKO	2	0
1737	92751482	0	SKO	2	0
1738	69594761	0	SKO	2	0
1739	75194650	0	SKO	2	0
1740	27169390	0	SKO	2	0
1741	31156664	0	SKO	2	0
1742	58429964	0	SKO	2	0
1743	66932923	0	SKO	2	0
1744	74138902	0	SKO	2	0
1745	36646638	0	SKO	2	0
1746	50874172	0	SKO	2	0
1747	26148513	0	SKO	2	0
1748	63667219	0	SKO	2	0
1749	79047721	0	SKO	2	0
1750	13669153	0	SKO	2	0
1751	73761536	0	SKO	2	0
1752	32067248	0	SKO	2	0
1753	15205939	0	SKO	2	0
1754	23666703	0	SKO	2	0
1755	84931293	0	SKO	2	0
1756	78934871	0	SKO	2	0
1757	69885816	0	SKO	2	0
1758	61817734	0	SKO	2	0
1759	57117314	0	SKO	2	0
1760	77164781	0	SKO	2	0
1761	99286400	0	SKO	2	0
1762	78291961	0	SKO	2	0
1763	74068802	0	SKO	2	0
1764	51088232	0	SKO	2	0
1765	11474711	0	SKO	2	0
1766	96117960	0	SKO	2	0
1767	15677966	0	SKO	2	0
1768	37931463	0	SKO	2	0
1769	23089879	0	SKO	2	0
1770	86158430	0	SKO	2	0
1771	91808674	0	SKO	2	0
1772	92531082	0	SKO	2	0
1773	90086562	0	SKO	2	0
1774	93053448	0	SKO	2	0
1775	37618982	0	SKO	2	0
1776	44181181	0	SKO	2	0
1777	94679789	0	SKO	2	0
1778	14912823	0	SKO	2	0
1779	27107671	0	SKO	2	0
1780	57496813	0	SKO	2	0
1781	15884090	0	SKO	2	0
1782	35804823	0	SKO	2	0
1783	92761462	0	SKO	2	0
1784	26594744	0	SKO	2	0
1785	89114044	0	SKO	2	0
1786	39891799	0	SKO	2	0
1787	82278302	0	SKO	2	0
1788	64295685	0	SKO	2	0
1789	23757366	0	SKO	2	0
1790	18171741	0	SKO	2	0
1791	94637470	0	SKO	2	0
1792	56571720	0	SKO	2	0
1793	57313066	0	SKO	2	0
1794	65889884	0	SKO	2	0
1795	79128596	0	SKO	2	0
1796	93318930	0	SKO	2	0
1797	86728020	0	SKO	2	0
1798	77662403	0	SKO	2	0
1799	67631870	0	SKO	2	0
1800	99673634	0	SKO	2	0
1801	63659599	0	SKO	2	0
1802	40195120	0	SKO	2	0
1803	55928149	0	SKO	2	0
1804	54893338	0	SKO	2	0
1805	78352753	0	SKO	2	0
1806	67765605	0	SKO	2	0
1807	14252118	0	SKO	2	0
1808	28400757	0	SKO	2	0
1809	65641863	0	SKO	2	0
1810	24395344	0	SKO	2	0
1811	50632800	0	SKO	2	0
1812	45388373	0	SKO	2	0
1813	29341968	0	SKO	2	0
1814	51357085	0	SKO	2	0
1815	59789207	0	SKO	2	0
1816	34962941	0	SKO	2	0
1817	65067644	0	SKO	2	0
